"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TEAM","Atlassian Corporation Plc","84.48","20118622656","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/team",
"ATOM","Atomera Incorporated","2.82","42394540.5","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/atom",
"ATTU","Attunity Ltd.","19.11","407747241.72","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/attu",
"AEYE","AudioEye, Inc.","8.56","64614851.84","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aeye",
"JG","Aurora Mobile Limited","6.8","75985716","11174370","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/jg",
"ADSK","Autodesk, Inc.","121.85","26686226666.6","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adsk",
"ADP","Automatic Data Processing, Inc.","126.21","55246218698.79","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/adp",
"AUTO","AutoWeb, Inc.","3.35","43378982.5","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/auto",
"AVNW","Aviat Networks, Inc.","13.82","74967253.36","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/avnw",
"AVID","Avid Technology, Inc.","4.56","190848079.44","n/a","1993","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avid",
"AWRE","Aware, Inc.","3.67","79070564.71","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/awre",
"ACLS","Axcelis Technologies, Inc.","16.57","537069275.79","n/a","2000","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acls",
"AXTI","AXT Inc","4.15","164081957.15","n/a","1998","Technology","Semiconductors","https://www.nasdaq.com/symbol/axti",
"BOSC","B.O.S. Better Online Solutions","2.13","7569410.82","n/a","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bosc",
"BIDU","Baidu, Inc.","154.71","43432731538.2","280736420","2005","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/bidu",
"BAND","Bandwidth Inc.","39.57","765874065.69","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/band",
"BBSI","Barrett Business Services, Inc.","55.56","410093860.44","n/a","1993","Technology","Professional Services","https://www.nasdaq.com/symbol/bbsi",
"BNFT","Benefitfocus, Inc.","45.74","1461875419.78","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bnft",
"BILI","Bilibili Inc.","12.95","712997940.2","55057756","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/bili",
"BKYI","BIO-key International, Inc.","0.845","11811298.46","n/a","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bkyi",
"BBOX","Black Box Corporation","1.095","16685085.495","n/a","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bbox",
"BLKB","Blackbaud, Inc.","60.72","2949111137.28","n/a","2004","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/blkb",
"BL","BlackLine, Inc.","39.43","2154649865.91","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bl",
"BRQS","Borqs Technologies, Inc. ","3.2361","101300770.935","n/a","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/brqs",
"EPAY","Bottomline Technologies, Inc.","44.91","1935258666.12","n/a","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/epay",
"BLIN          ","Bridgeline Digital, Inc.","0.24","1359654","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/blin",
"BCOV","Brightcove Inc.","6.9","251736253.5","n/a","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/bcov",
"AVGO","Broadcom Inc.","230.96","94063287294.96","n/a","2009","Technology","Semiconductors","https://www.nasdaq.com/symbol/avgo",
"BVSN","BroadVision, Inc.","1.0101","5049645.4554","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bvsn",
"BRKS","Brooks Automation, Inc.","24.38","1754267020.22","n/a","1995","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/brks",
"CCMP","Cabot Microelectronics Corporation","88.16","2530784876","n/a","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/ccmp",
"CDNS","Cadence Design Systems, Inc.","41.53","11717357260","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cdns",
"CAMP","CalAmp Corp.","13.14","450164652.84","n/a","1983","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/camp",
"CSIQ","Canadian Solar Inc.","15.14","886927922.1","n/a","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/csiq",
"CBLK","Carbon Black, Inc.","12.68","861191757.08","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cblk",
"CARB","Carbonite, Inc.","24.41","843559071.3","n/a","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/carb",
"CDLX","Cardlytics, Inc.","10.85","232314775","n/a","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cdlx",
"CARG","CarGurus, Inc.","32.23","3547815454.81","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/carg",
"CASA","Casa Systems, Inc.","12.28","1016475170.28","n/a","2017","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/casa",
"CRNT","Ceragon Networks Ltd.","3.65","286051930.8","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/crnt",
"CERN","Cerner Corporation","50.7","16705055998.8","n/a","1986","Technology","EDP Services","https://www.nasdaq.com/symbol/cern",
"CEVA","CEVA, Inc.","21.53","471558155.28","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/ceva",
"CYOU","Changyou.com Limited","16.22","317361428.32","19566056","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"CHKP","Check Point Software Technologies Ltd.","102.35","16277200316.8","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CCIH","ChinaCache International Holdings Ltd.","1.03","24886324.4","24161480","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.29","20810980.47","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","16.52","91125575.52","5516076","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",
"CRUS","Cirrus Logic, Inc.","31.35","1876118773.65","n/a","1989","Technology","Semiconductors","https://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","41.07","184649148251.1","n/a","1990","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/csco",
"CTXS","Citrix Systems, Inc.","100.74","13575902422.38","n/a","1995","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ctxs",
"CLPS","CLPS Incorporation","2.2282","30779955.9522","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/clps",
"CTSH","Cognizant Technology Solutions Corporation","61.1","35378611349.9","n/a","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/ctsh",
"CCNI","Command Center, Inc.","4.5819","21603310.2756","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/ccni",
"COMM","CommScope Holding Company, Inc.","16.8","3229348819.2","n/a","2013","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/comm",
"CVLT","Commvault Systems, Inc.","55.78","2581964386.12","n/a","2006","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cvlt",
"CPSI","Computer Programs and Systems, Inc.","25.54","359756159.06","n/a","2002","Technology","EDP Services","https://www.nasdaq.com/symbol/cpsi",
"CTG","Computer Task Group, Incorporated","4.1","58550119.7","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ctg",
"CMTL","Comtech Telecommunications Corp.","23.94","572307078.42","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/cmtl",
"CVON","ConvergeOne Holdings, Inc.","12.44","990769655.72","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cvon",
"CSOD","Cornerstone OnDemand, Inc.","48.29","2830384200.38","n/a","2011","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/csod",
"CPAH","CounterPath Corporation","1.2242","7310462.1008","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cpah",
"COUP","Coupa Software Incorporated","58.76","3492980208.64","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/coup",
"CRAY","Cray Inc","20.91","853895271.54","n/a","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/cray",
"CREX","Creative Realities, Inc.","2.2801","6754479.3161","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/crex",
"CREXW","Creative Realities, Inc.","0.4","0","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/crexw",
"CREE","Cree, Inc.","39.69","4070579926.77","n/a","1993","Technology","Semiconductors","https://www.nasdaq.com/symbol/cree",
"CRTO","Criteo S.A.","23.7","1564158501.3","65998249","2013","Technology","Advertising","https://www.nasdaq.com/symbol/crto",
"CCRN","Cross Country Healthcare, Inc.","7.47","270792982.98","n/a","2001","Technology","Professional Services","https://www.nasdaq.com/symbol/ccrn",
"CSGS","CSG Systems International, Inc.","31.47","1048845251.52","n/a","1996","Technology","EDP Services","https://www.nasdaq.com/symbol/csgs",
"CSPI","CSP Inc.","10.09","40554272.86","n/a","1982","Technology","EDP Services","https://www.nasdaq.com/symbol/cspi",
"CVV","CVD Equipment Corporation","3.87","25184079.18","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cvv",
"CYBR","CyberArk Software Ltd.","69.91","2487287551.93","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cybr",
"CY","Cypress Semiconductor Corporation","12.12","4386834472.68","n/a","1986","Technology","Semiconductors","https://www.nasdaq.com/symbol/cy",
"CYRN","CYREN Ltd.","2.85","153143749.65","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyrn",
"DTSS","Datasea Inc.","3.6001","69319371.0846","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dtss",
"DGII","Digi International Inc.","10.07","277627573.83","n/a","1989","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","15.38","182813508.72","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dmrc",
"DGLY","Digital Ally, Inc.","2.91","30336028.32","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/dgly",
"DIOD","Diodes Incorporated","30.15","1514158717.95","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/diod",
"DLHC","DLH Holdings Corp.","5.28","62829328.32","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/dlhc",
"DOCU","DocuSign, Inc.","38.83","6416683321.95","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/docu",
"DOMO","Domo, Inc.","17.69","465917857.87","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/domo",
"DBX","Dropbox, Inc.","20.09","8167058320.4","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dbx",
"DSPG","DSP Group, Inc.","11.1","246378352.8","n/a","1994","Technology","Semiconductors","https://www.nasdaq.com/symbol/dspg",
"EBIX","Ebix, Inc.","42.43","6633966141.2","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ebix",
"SATS","EchoStar Corporation","36.74","3535678712.94","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/sats",
"EGAN","eGain Corporation","6.31","175866533.73","n/a","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/egan",
"EA","Electronic Arts Inc.","78.71","23780549662.16","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ea",
"EFII","Electronics for Imaging, Inc.","23.95","1052162083.45","n/a","1992","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/efii",
"ELTK","Eltek Ltd.","2.39","4848239.28","n/a","1997","Technology","Electrical Products","https://www.nasdaq.com/symbol/eltk",
"EMKR","EMCORE Corporation","4.47","123404157.18","n/a","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/emkr",
"EIGI","Endurance International Group Holdings, Inc.","6.46","929305871.08","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/eigi",
"WATT","Energous Corporation","6.59","171963414","n/a","2014","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/watt",
"ERII","Energy Recovery, Inc.","6.77","364647703.3","n/a","2008","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/erii",
"ENPH","Enphase Energy, Inc.","4.76","506121789.32","n/a","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/enph",
"PLUS","ePlus inc.","68.74","942063415.16","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/plus",
"ERIC","Ericsson","8.29","2585535462.27","311886063","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/eric",
"EVBG","Everbridge, Inc.","52.92","1569158226.72","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/evbg",
"EVER","EverQuote, Inc.","4.41","110367275.13","n/a","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/ever",
"MRAM","Everspin Technologies, Inc.","5.72","97778103.28","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/mram",
"EVOL","Evolving Systems, Inc.","1.24","15025097.36","n/a","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/evol",
"EXTR","Extreme Networks, Inc.","5.83","689907502.57","n/a","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/extr",
"FFIV","F5 Networks, Inc.","154.31","9355385392.34","n/a","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/ffiv",
"FB","Facebook, Inc.","131.74","378592780004.88","n/a","2012","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fb",
"FNSR","Finisar Corporation","20.69","2429083918.54","n/a","1999","Technology","Semiconductors","https://www.nasdaq.com/symbol/fnsr",
"FEYE","FireEye, Inc.","15.43","3039941233.98","n/a","2013","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/feye",
"FSLR","First Solar, Inc.","43.44","4553162600.88","n/a","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/fslr",
"FISV","Fiserv, Inc.","70.11","27936786175.47","n/a","1986","Technology","EDP Services","https://www.nasdaq.com/symbol/fisv",
"FIVN","Five9, Inc.","40.98","2408474756.88","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/fivn",
"FLEX","Flex Ltd.","7.52","3959929878.4","n/a","1994","Technology","Electrical Products","https://www.nasdaq.com/symbol/flex",
"FPAY","FlexShopper, Inc.","0.86","15118688.2","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/fpay",
"FPAYW","FlexShopper, Inc.","0.2","0","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/fpayw",
"FSCT","ForeScout Technologies, Inc.","24.46","1048409901.2","n/a","2017","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/fsct",
"FRSX","Foresight Autonomous Holdings Ltd.","1.75","2646220.5","1512126","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/frsx",
"FORM","FormFactor, Inc.","12.88","954438074.8","n/a","2003","Technology","Semiconductors","https://www.nasdaq.com/symbol/form",
"FORTY","Formula Systems (1985) Ltd.","35.6401","5693577.2552","159752","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/forty",
"FTNT","Fortinet, Inc.","67.57","11511914751.85","n/a","2009","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/ftnt",
"FSNN","Fusion Connect, Inc.","1.66","136307530.2","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/fsnn",
"GDS","GDS Holdings Limited","20.9","1061276146.7","50778763","2016","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/gds",
"GFN","General Finance Corporation","9.92","300407022.72","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/gfn",
"GFNCP","General Finance Corporation","99.9865","0","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/gfncp",
"GFNSL","General Finance Corporation","24.7914","0","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/gfnsl",
"GIGM","GigaMedia Limited","2.945","32548832.075","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/gigm",
"GILT","Gilat Satellite Networks Ltd.","8.59","470732970.67","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/gilt",
"GLUU","Glu Mobile Inc.","7.55","1081514759.4","n/a","2007","Technology","EDP Services","https://www.nasdaq.com/symbol/gluu",
"GEC","Great Elm Capital Group, Inc. ","3.35","86785063.15","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gec",
"GRNQ","Greenpro Capital Corp.","4.6819","256171502.2053","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/grnq",
"GSUM","Gridsum Holding Inc.","2.04","32376882.84","15871021","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gsum",
"GRPN","Groupon, Inc.","3.22","1837911648.3","n/a","2011","Technology","Advertising","https://www.nasdaq.com/symbol/grpn",
"GVP","GSE Systems, Inc.","2.3989","47577630.7867","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gvp",
"GSIT","GSI Technology, Inc.","5.3","116322407.2","n/a","2007","Technology","Semiconductors","https://www.nasdaq.com/symbol/gsit",
"HQCL","Hanwha Q CELLS Co., Ltd. ","9.79","53859929.75","5501525","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/hqcl",
"HLIT","Harmonic Inc.","4.52","391873753.16","n/a","1995","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/hlit",
"HSTM","HealthStream, Inc.","23.9","772577275.1","n/a","2000","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/hstm",
"HSII","Heidrick & Struggles International, Inc.","30.98","587339689.54","n/a","1999","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/hsii",
"HIMX","Himax Technologies, Inc.","3.35","362065041.95","108079117","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/himx",
"HDP","Hortonworks, Inc.","14.68","1227035756.56","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/hdp",
"HSON","Hudson Global, Inc.","1.37","43904873.61","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/hson",
"ICHR","Ichor Holdings","16.33","373189898.25","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/ichr",
"ICLK","iClick Interactive Asia Group Limited","3.2","56274617.6","17585818","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/iclk",
"INVE","Identiv, Inc.","3.9","60381418.5","n/a","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/inve",
"INFO","IHS Markit Ltd.","46.6","18368099671.4","n/a","1996","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/info",
"IMMR","Immersion Corporation","8.98","276613131.12","n/a","1999","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/immr",
"IMPV","Imperva, Inc.","55.67","1971206058.89","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/impv",
"INOD","Innodata Inc.","1.48","38298631.92","n/a","1993","Technology","EDP Services","https://www.nasdaq.com/symbol/inod",
"ISSC","Innovative Solutions and Support, Inc.","2.2072","37170570.1128","n/a","2000","Technology","EDP Services","https://www.nasdaq.com/symbol/issc",
"INOV","Inovalon Holdings, Inc.","13.51","2059130027.5","n/a","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/inov",
"INPX","Inpixon ","3.2","5062016","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/inpx",
"INSE","Inspired Entertainment, Inc.","4.86","104415676.02","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/inse",
"IDTI","Integrated Device Technology, Inc.","48.35","6238132133.55","n/a","1984","Technology","Semiconductors","https://www.nasdaq.com/symbol/idti",
