"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","9.92","1132670986.56","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"WUBA","58.com Inc.","51.78","7670625303.48","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","17.49","1668041955.69","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"ATEN","A10 Networks, Inc.","6.01","443528486.17","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","42.76","3103448150.76","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ATU","Actuant Corporation","20.56","1255472056.96","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"AER","Aercap Holdings N.V.","38.71","5688863290.67","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","3.25","180555115","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AL","Air Lease Corporation","29.65","3289193159.3","n/a","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","17.53","1336265883.75","n/a","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AYX","Alteryx, Inc.","57.33","3519099887.94","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ayx",
"AMBR","Amber Road, Inc.","8","222337872","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ambr",
"AMN","AMN Healthcare Services Inc","54.41","2550081187.57","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/amn",
"PLAN","Anaplan, Inc.","24","2999140632","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/plan",
"APY","Apergy Corporation","28.25","2184878447.5","n/a","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/apy",
"AQ","Aquantia Corp.","8.26","287898690.38","n/a","2017","Technology","Semiconductors","https://www.nasdaq.com/symbol/aq",
"ANET","Arista Networks, Inc.","199.6","15055289080","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/anet",
"ASX","ASE Technology Holding Co., Ltd.","3.55","7412603450.5","n/a","2018","Technology","Semiconductors","https://www.nasdaq.com/symbol/asx",
"ASGN","ASGN Incorporated","53.15","2789153985.05","n/a","1992","Technology","Professional Services","https://www.nasdaq.com/symbol/asgn",
"AUO","AU Optronics Corp","3.81","3666837386.91","n/a","2002","Technology","Semiconductors","https://www.nasdaq.com/symbol/auo",
"ATHM","Autohome Inc.","74.47","8723479546.32","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/athm",
"AVLR","Avalara, Inc.","31.45","2091584986.15","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avlr",
"BHE","Benchmark Electronics, Inc.","20.65","902618851.4","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/bhe",
"BITA","Bitauto Holdings Limited","20","1454799320","n/a","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/bita",
"BKI","Black Knight, Inc.","44.13","6593005804.29","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bki",
"BB","BlackBerry Limited","6.88","3719184875.36","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bb",
"BOX","Box, Inc.","17.66","2532533977.7","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/box",
"CACI","CACI International, Inc.","140.81","3498974453.86","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/caci",
"CAI","CAI International, Inc.","22.99","443849583.98","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/cai",
"CARS","Cars.com Inc.","21.42","1468728744.84","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/cars",
"CSLT","Castlight Health, inc.","2.2","307404361","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/cslt",
"CLS","Celestica, Inc.","8.71","1023282426.01","n/a","1998","Technology","Electrical Products","https://www.nasdaq.com/symbol/cls",
"CDAY","Ceridian HCM Holding Inc.","33.23","4510790366.37","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cday",
"ECOM","ChannelAdvisor Corporation","11.01","300708081.69","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ecom",
"CMCM","Cheetah Mobile Inc.","5.87","841372452.53","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cmcm",
"CISN","Cision Ltd.","11.32","1502317442.6","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cisn",
"CLDR","Cloudera, Inc.","10.37","1591969050.08","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cldr",
"CTK","CooTek (Cayman) Inc.","8.34","533064727.56","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/ctk",
"CLGX","CoreLogic, Inc.","32.8","2642415986.4","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/clgx",
"CTS","CTS Corporation","25.1","830484779.3","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/cts",
"CW","Curtiss-Wright Corporation","99.45","4354936086.15","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cw",
"DQ","DAQO New Energy Corp.","23.3","299726796.3","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/dq",
"DELL","Dell Technologies Inc.","45.13","79390949514.13","n/a","2018","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/dell",
"DOV","Dover Corporation","69.79","10212557318.46","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dov",
"DXC","DXC Technology Company","54.71","15325016204.91","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dxc",
"ETN","Eaton Corporation, PLC","66.63","28877442000","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/etn",
"ESTC","Elastic N.V.","64.01","4543043499.65","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/estc",
"ELLI","Ellie Mae, Inc.","62.85","2189782178.55","n/a","2011","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/elli",
"DAVA","Endava plc","22.32","1183699684.8","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/dava",
"EPAM","EPAM Systems, Inc.","112.29","6064712381.88","n/a","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/epam",
"EB","Eventbrite, Inc.","27.42","2145695861.58","n/a","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/eb",
"EVTC","Evertec, Inc.","27.35","1989477754.95","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/evtc",
"AQUA","Evoqua Water Technologies Corp.","9.72","1107394623.36","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aqua",
"EXTN","Exterran Corporation","18.29","661244039.9","n/a","2015","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/extn",
"FDS","FactSet Research Systems Inc.","194","7379235230","n/a","1996","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fds",
"SFUN","Fang Holdings Limited","1.34","598744830","n/a","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/sfun",
"FIT","Fitbit, Inc.","5.18","1287392025.22","n/a","2015","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/fit",
"GDI","Gardner Denver Holdings, Inc.","20.58","4090537127.46","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/gdi",
"GTES","Gates Industrial Corporation plc","13.05","3781996357.5","n/a","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/gtes",
"GLOB","Globant S.A.","52.1","1870390000","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/glob",
"GDDY","GoDaddy Inc.","60.23","10450904818","n/a","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/gddy",
"GHM","Graham Corporation","22.97","225852479.06","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ghm",
"GWRE","Guidewire Software, Inc.","76.84","6226502875.68","n/a","2012","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/gwre",
"HHS","Harte-Hanks, Inc.","2.96","18511908.08","n/a","1993","Technology","Advertising","https://www.nasdaq.com/symbol/hhs",
"HPE","Hewlett Packard Enterprise Company","13.18","18434581641.5","n/a","2015","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/hpe",
"HPQ","HP Inc.","19.93","30961145524.51","n/a","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/hpq",
